실행모드,파일수,디렉토리깊이,부합비율,심볼릭포함,실행시간(초),UserTime,SysTime,CPU(%),MaxMemory(KB)
multi,100,1,0,include,,0.01,0.00,75,2744
multi,100,1,0,exclude,,0.00,0.00,25,2932
multi,100,1,50,include,,0.11,0.18,155,224244
multi,100,1,50,exclude,,0.05,0.11,103,224244
multi,100,1,100,include,,0.10,0.39,169,445680
multi,100,1,100,exclude,,0.00,0.24,97,445556
multi,100,3,0,include,,0.00,0.01,69,2804
multi,100,3,0,exclude,,0.00,0.01,92,2932
multi,100,3,50,include,,0.06,0.18,153,224056
multi,100,3,50,exclude,,0.06,0.18,143,224372
multi,100,3,100,include,,0.03,0.30,128,445556
multi,100,3,100,exclude,,0.11,0.39,173,445496
multi,500,1,0,include,,0.06,0.04,162,2932
multi,500,1,0,exclude,,0.03,0.06,153,2928
multi,500,1,50,include,,0.27,0.78,155,1109492
multi,500,1,50,exclude,,0.15,0.79,146,1109620
multi,500,1,100,include,,0.24,1.95,154,2216052
multi,500,1,100,exclude,,0.74,3.52,181,2216052
multi,500,3,0,include,,0.11,0.06,152,2932
multi,500,3,0,exclude,,0.09,0.10,164,2932
multi,500,3,50,include,,0.52,1.94,182,1109432
multi,500,3,50,exclude,,0.28,1.54,151,1109620
multi,500,3,100,include,,0.98,3.31,179,2216052
multi,500,3,100,exclude,,0.48,3.88,154,2216052
