실험명,실험조건,real(sec),user(sec),sys(sec),CPU활용률(%),mem(KB)
child_process,D3_N500_M0.5_SINCLUDE,0.71,0.06,0.36,59.2,N/A
parent_only,D3_N500_M0.5_SINCLUDE,0.09,0.03,0.03,66.7,N/A
single_thread,D3_N500_M0.5_SINCLUDE,0.06,0.05,0.02,116.7,N/A
child_process,D5_N500_M0.5_SINCLUDE,0.62,0.04,0.30,54.8,N/A
parent_only,D5_N500_M0.5_SINCLUDE,0.09,0.05,0.02,77.8,N/A
single_thread,D5_N500_M0.5_SINCLUDE,0.07,0.05,0.04,128.6,N/A
child_process,D3_N1000_M0.5_SINCLUDE,0.84,0.12,0.50,73.8,N/A
parent_only,D3_N1000_M0.5_SINCLUDE,0.14,0.09,0.02,78.6,N/A
single_thread,D3_N1000_M0.5_SINCLUDE,0.06,0.05,0.02,116.7,N/A
child_process,D3_N500_M1.0_SINCLUDE,0.25,0.00,0.09,36.0,N/A
parent_only,D3_N500_M1.0_SINCLUDE,0.01,0.00,0.00,0.0,N/A
single_thread,D3_N500_M1.0_SINCLUDE,0.00,0.00,0.00,-nan,N/A
child_process,D3_N500_M0.5_SEXCLUDE,0.30,0.06,0.11,56.7,N/A
parent_only,D3_N500_M0.5_SEXCLUDE,0.07,0.03,0.02,71.4,N/A
single_thread,D3_N500_M0.5_SEXCLUDE,0.04,0.04,0.01,125.0,N/A
multi_process,D3_N500_M0.5_SINCLUDE,0.00,0.00,0.00,-nan,N/A
multi_thread,D3_N500_M0.5_SINCLUDE,0.05,0.03,0.01,80.0,N/A
parallel_search,D3_N500_M0.5_SINCLUDE,0.04,0.05,0.05,250.0,N/A
